Point,AFTDIA,AFTBF,*FWDDIA,*FWDBF
318,0.0045,0.0000,0.0067,-0.0010
319,0.0045,0.0000,0.0066,-0.0010
320,0.0045,0.0000,0.0066,-0.0010
321,0.0045,0.0000,0.0066,-0.0010
322,0.0045,0.0000,0.0066,-0.0009
323,0.0045,0.0000,0.0065,-0.0009
324,0.0045,0.0000,0.0065,-0.0009
325,0.0045,0.0000,0.0065,-0.0009
326,0.0046,0.0000,0.0064,-0.0009
327,0.0046,0.0000,0.0064,-0.0009
328,0.0046,0.0000,0.0064,-0.0009
329,0.0046,0.0000,0.0064,-0.0009
330,0.0046,0.0000,0.0063,-0.0009
331,0.0046,0.0000,0.0063,-0.0009
332,0.0046,0.0000,0.0063,-0.0009
333,0.0046,0.0000,0.0063,-0.0009
334,0.0047,0.0000,0.0062,-0.0008
335,0.0047,0.0000,0.0062,-0.0008
336,0.0047,0.0000,0.0062,-0.0008
337,0.0047,0.0000,0.0062,-0.0008
338,0.0047,0.0000,0.0061,-0.0008
339,0.0047,0.0000,0.0061,-0.0008
340,0.0048,0.0000,0.0061,-0.0008
341,0.0048,0.0000,0.0061,-0.0008
342,0.0048,0.0000,0.0060,-0.0008
343,0.0048,0.0000,0.0060,-0.0007
344,0.0048,0.0000,0.0060,-0.0007
345,0.0049,0.0000,0.0060,-0.0007
346,0.0049,0.0000,0.0060,-0.0007
347,0.0049,0.0000,0.0059,-0.0007
348,0.0049,0.0000,0.0059,-0.0007
349,0.0049,0.0000,0.0059,-0.0007
350,0.0049,0.0000,0.0059,-0.0007
351,0.0049,0.0000,0.0059,-0.0007
352,0.0049,0.0000,0.0059,-0.0006
353,0.0050,0.0000,0.0058,-0.0006
354,0.0050,0.0000,0.0058,-0.0006
355,0.0050,0.0000,0.0058,-0.0006
356,0.0050,0.0000,0.0058,-0.0006
357,0.0050,0.0000,0.0058,-0.0006
358,0.0050,0.0000,0.0058,-0.0006
359,0.0050,0.0000,0.0058,-0.0006
360,0.0050,0.0000,0.0057,-0.0006
361,0.0050,-0.0001,0.0057,-0.0005
362,0.0050,-0.0001,0.0057,-0.0005
363,0.0050,-0.0001,0.0057,-0.0005
364,0.0050,-0.0001,0.0057,-0.0005
365,0.0050,-0.0001,0.0057,-0.0005
366,0.0051,-0.0001,0.0057,-0.0005
367,0.0051,-0.0001,0.0057,-0.0005
368,0.0051,-0.0001,0.0056,-0.0005
369,0.0051,-0.0001,0.0056,-0.0004
370,0.0051,-0.0001,0.0056,-0.0004
371,0.0051,-0.0001,0.0056,-0.0004
372,0.0051,-0.0001,0.0056,-0.0004
373,0.0051,-0.0001,0.0056,-0.0004
374,0.0051,-0.0001,0.0056,-0.0004
375,0.0051,-0.0001,0.0055,-0.0004
376,0.0051,-0.0001,0.0055,-0.0004
377,0.0051,-0.0001,0.0055,-0.0003
378,0.0051,-0.0001,0.0055,-0.0003
379,0.0051,-0.0001,0.0055,-0.0003
380,0.0051,-0.0001,0.0054,-0.0003
381,0.0051,-0.0001,0.0054,-0.0003
382,0.0051,-0.0001,0.0054,-0.0003
383,0.0051,-0.0001,0.0054,-0.0003
384,0.0051,-0.0001,0.0054,-0.0003
385,0.0051,-0.0001,0.0053,-0.0003
386,0.0051,-0.0001,0.0053,-0.0003
387,0.0051,-0.0001,0.0053,-0.0002
388,0.0051,-0.0001,0.0052,-0.0002
389,0.0051,-0.0001,0.0052,-0.0002
390,0.0052,-0.0001,0.0052,-0.0002
391,0.0052,-0.0001,0.0052,-0.0002
392,0.0052,-0.0001,0.0051,-0.0002
393,0.0052,-0.0001,0.0051,-0.0002
394,0.0052,-0.0001,0.0051,-0.0002
395,0.0052,-0.0001,0.0051,-0.0002
396,0.0052,-0.0001,0.0050,-0.0002
397,0.0052,-0.0001,0.0050,-0.0002
398,0.0052,-0.0001,0.0050,-0.0002
399,0.0052,-0.0001,0.0049,-0.0002
400,0.0052,-0.0001,0.0049,-0.0001
401,0.0052,-0.0001,0.0049,-0.0001
402,0.0052,-0.0001,0.0049,-0.0001
403,0.0052,-0.0001,0.0048,-0.0001
404,0.0052,-0.0001,0.0048,-0.0001
405,0.0052,-0.0001,0.0048,-0.0001
406,0.0053,-0.0001,0.0048,-0.0001
407,0.0053,-0.0001,0.0047,-0.0001
408,0.0053,-0.0001,0.0047,-0.0001
409,0.0053,-0.0001,0.0047,-0.0001
410,0.0053,-0.0001,0.0047,-0.0001
411,0.0054,-0.0001,0.0047,-0.0001
412,0.0054,-0.0001,0.0046,-0.0001
413,0.0054,-0.0001,0.0046,0.0000
414,0.0054,-0.0001,0.0046,0.0000
415,0.0054,-0.0001,0.0046,0.0000
416,0.0055,-0.0001,0.0045,0.0000
417,0.0055,-0.0001,0.0045,0.0000
418,0.0055,-0.0001,0.0045,0.0000
419,0.0055,-0.0001,0.0044,0.0000
420,0.0056,-0.0001,0.0044,0.0000
421,0.0056,-0.0001,0.0044,0.0000
422,0.0056,-0.0001,0.0044,0.0000
423,0.0056,-0.0001,0.0043,0.0000
424,0.0056,-0.0001,0.0043,0.0000
425,0.0057,-0.0001,0.0043,0.0001
426,0.0057,-0.0001,0.0042,0.0001
427,0.0057,-0.0001,0.0042,0.0001
428,0.0057,-0.0001,0.0042,0.0001
429,0.0057,-0.0001,0.0041,0.0001
430,0.0057,-0.0001,0.0041,0.0001
431,0.0057,-0.0001,0.0040,0.0001
432,0.0057,-0.0001,0.0040,0.0001
433,0.0057,-0.0001,0.0039,0.0001
434,0.0057,-0.0001,0.0039,0.0001
435,0.0057,-0.0001,0.0039,0.0001
436,0.0057,-0.0001,0.0038,0.0001
437,0.0057,-0.0001,0.0038,0.0001
438,0.0057,-0.0001,0.0037,0.0001
439,0.0057,-0.0001,0.0037,0.0002
440,0.0057,-0.0001,0.0036,0.0002
441,0.0057,-0.0001,0.0036,0.0002
442,0.0057,-0.0001,0.0036,0.0002
443,0.0057,-0.0001,0.0035,0.0002
444,0.0057,-0.0001,0.0035,0.0002
445,0.0057,-0.0001,0.0034,0.0002
446,0.0057,-0.0001,0.0034,0.0002
447,0.0057,-0.0001,0.0033,0.0002
448,0.0057,-0.0001,0.0033,0.0002
449,0.0057,-0.0001,0.0033,0.0002
450,0.0057,-0.0001,0.0032,0.0002
451,0.0057,-0.0001,0.0032,0.0002
452,0.0057,-0.0001,0.0031,0.0003
453,0.0057,-0.0001,0.0031,0.0003
454,0.0057,-0.0001,0.0030,0.0003
455,0.0057,-0.0001,0.0030,0.0003
456,0.0057,-0.0001,0.0030,0.0003
457,0.0057,-0.0001,0.0029,0.0003
458,0.0057,-0.0001,0.0029,0.0003
459,0.0057,-0.0001,0.0028,0.0003
460,0.0057,-0.0001,0.0028,0.0003
461,0.0057,-0.0001,0.0028,0.0003
